Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,symptoms
Gastroenteritis, vomiting, dehydration, diarrhoea, stomach_cramps,"vomiting, dehydration, diarrhoea"
Gastroenteritis, sunken_eyes, diarrhoea, vomiting, nausea,"sunken_eyes, diarrhoea, vomiting"
Bronchial Asthma, fatigue, cough, high_fever, breathlessness,"fatigue, cough, high_fever, breathlessness"
Bronchial Asthma, cough, breathlessness, wheezing, chest_tightness,"cough, breathlessness, wheezing"
Bronchial Asthma, fatigue, breathlessness, cough, chest_pain,"fatigue, breathlessness, cough"
Hypertension, headache, chest_pain, dizziness, loss_of_balance,"headache, chest_pain, dizziness, loss_of_balance"
Hypertension, headache, dizziness, loss_of_balance, shortness_of_breath,"headache, dizziness, loss_of_balance"
Hypertension, chest_pain, dizziness, headache, fatigue,"chest_pain, dizziness, headache"
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision,"acidity, indigestion, headache, blurred_and_distorted_vision"
Migraine, headache, blurred_and_distorted_vision, nausea, sensitivity_to_light,"headache, blurred_and_distorted_vision, nausea"
Migraine, indigestion, headache, nausea, blurred_vision,"indigestion, headache, nausea"
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness,"back_pain, weakness_in_limbs, neck_pain, dizziness"
Cervical spondylosis, neck_pain, dizziness, back_pain, stiffness,"neck_pain, dizziness, back_pain"
Cervical spondylosis, weakness_in_limbs, neck_pain, back_pain, numbness,"weakness_in_limbs, neck_pain, back_pain"
Jaundice, itching, vomiting, fatigue, weight_loss,"itching, vomiting, fatigue, weight_loss"
Jaundice, yellowish_skin, vomiting, fatigue, dark_urine,"yellowish_skin, vomiting, fatigue"
Jaundice, itching, yellowish_skin, fatigue, abdominal_pain,"itching, yellowish_skin, fatigue"
Malaria, chills, vomiting, high_fever, sweating,"chills, vomiting, high_fever, sweating"
Malaria, chills, high_fever, sweating, muscle_pain,"chills, high_fever, sweating"
Malaria, high_fever, sweating, vomiting, headache,"high_fever, sweating, vomiting"
Chicken pox, itching, skin_rash, fatigue, lethargy,"itching, skin_rash, fatigue, lethargy"
Chicken pox, itching, skin_rash, high_fever, blisters,"itching, skin_rash, high_fever"
Chicken pox, skin_rash, fatigue, lethargy, red_spots,"skin_rash, fatigue, lethargy"
Dengue, skin_rash, chills, joint_pain, high_fever,"skin_rash, chills, joint_pain, high_fever"
Dengue, joint_pain, high_fever, headache, muscle_pain,"joint_pain, high_fever, headache"
Dengue, chills, joint_pain, high_fever, fatigue,"chills, joint_pain, high_fever"
Typhoid, chills, vomiting, fatigue, high_fever,"chills, vomiting, fatigue, high_fever"
Typhoid, high_fever, abdominal_pain, headache, fatigue,"high_fever, abdominal_pain, headache"
Typhoid, chills, fatigue, high_fever, constipation,"chills, fatigue, high_fever"
hepatitis A, joint_pain, vomiting, yellowish_skin, dark_urine,"joint_pain, vomiting, yellowish_skin, dark_urine"
hepatitis A, joint_pain, yellowish_skin, dark_urine, loss_of_appetite,"joint_pain, yellowish_skin, dark_urine"
Hepatitis B, itching, fatigue, lethargy, yellowish_skin,"itching, fatigue, lethargy, yellowish_skin"
Hepatitis B, fatigue, yellowish_skin, dark_urine, abdominal_pain,"fatigue, yellowish_skin, dark_urine"
Common Cold, continuous_sneezing, chills, fatigue, cough,"continuous_sneezing, chills, fatigue, cough"
Common Cold, continuous_sneezing, cough, sore_throat, runny_nose,"continuous_sneezing, cough, sore_throat"
Common Cold, chills, fatigue, cough, runny_nose,"chills, fatigue, cough"
Common Cold, continuous_sneezing, sore_throat, congestion, cough,"continuous_sneezing, sore_throat, congestion"
Pneumonia, chills, fatigue, cough, high_fever,"chills, fatigue, cough, high_fever"
Pneumonia, chest_pain, cough, high_fever, shortness_of_breath,"chest_pain, cough, high_fever"
Pneumonia, chills, cough, high_fever, fatigue,"chills, cough, high_fever"
Heart attack, vomiting, breathlessness, sweating, chest_pain,"vomiting, breathlessness, sweating, chest_pain"
Heart attack, chest_pain, breathlessness, sweating, arm_pain,"chest_pain, breathlessness, sweating"
Heart attack, breathlessness, sweating, chest_pain, nausea,"breathlessness, sweating, chest_pain"
Arthritis, muscle_weakness, stiff_neck, swelling_joints, movement_stiffness,"muscle_weakness, stiff_neck, swelling_joints, movement_stiffness"
Arthritis, swelling_joints, movement_stiffness, joint_pain, stiffness,"swelling_joints, movement_stiffness, joint_pain"
Arthritis, muscle_weakness, swelling_joints, joint_pain, stiffness,"muscle_weakness, swelling_joints, joint_pain"
Acne, skin_rash, pus_filled_pimples, blackheads, scurring,"skin_rash, pus_filled_pimples, blackheads, scurring"
Acne, pus_filled_pimples, blackheads, skin_rash, oily_skin,"pus_filled_pimples, blackheads, skin_rash"
Acne, blackheads, scurring, pus_filled_pimples, facial_redness,"blackheads, scurring, pus_filled_pimples"
Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine,"burning_micturition, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine"
Urinary tract infection, burning_micturition, bladder_discomfort, pelvic_pain, fever,"burning_micturition, bladder_discomfort, pelvic_pain"
Urinary tract infection, burning_micturition, continuous_feel_of_urine, foul_smell_of urine, fever,"burning_micturition, continuous_feel_of_urine"
COVID-19, fever, dry_cough, loss_of_taste, loss_of_smell,"fever, dry_cough, loss_of_taste, loss_of_smell"
COVID-19, fever, dry_cough, fatigue, loss_of_taste,"fever, dry_cough, fatigue"
COVID-19, dry_cough, loss_of_smell, fever, shortness_of_breath,"dry_cough, loss_of_smell, fever"
COVID-19, loss_of_taste, loss_of_smell, fatigue, sore_throat,"loss_of_taste, loss_of_smell, fatigue"
